Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
9;1000009;Форма банка (без печати работодателя);Покупка автомобиля;0;0.37;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;324;46;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1000029;Поступление зарплаты на счет;Ремонт;1;0.49;женский;0;0;среднее-специальное;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1000049;2НДФЛ;Ремонт;1;0.24;женский;0;0;высшее;специалист;>250;0;35;25;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1000069;Поступление зарплаты на счет;Другое;1;0.26;мужской;0;0;высшее;специалист;>250;1;26;37;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1000089;Форма банка (без печати работодателя);Покупка автомобиля;1;0.43;мужской;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;56;31;Другое;Государственное предприятие;холост / не замужем;0;0;0;0;0;0.0233333333;1;0;0;0;0.5;5;5;293;10;1;3;27;90;1;0;0;0;0;0;0
9;1000109;Поступление зарплаты на счет;Ремонт;0;0.59;мужской;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;86;34;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1000129;Свободная форма с печатью работодателя;Ремонт;1;0.46;женский;2;0;второе высшее;менеджер среднего звена;< 50;0;69;47;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.1806451613;1;0;0;0;0.25;2;2;127;4;1;0;42;80;1;0;0;0;0;0;0
9;1000149;Поступление зарплаты на счет;Ремонт;1;0.54;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;28;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1000169;Форма банка (без печати работодателя);Ремонт;1;0.35;женский;0;0;высшее;менеджер среднего звена;>250;0;161;52;Торговля;ЗАО;женат / замужем;1;1;0;0;0;0.0467836257;1;1;0;0;0.4285714286;4;3;163;7;2;2;5;84;1;0;0;0;0;0;0
9;1000189;Форма банка (без печати работодателя);Ремонт;1;0.28;женский;0;0;высшее;вспомогательный персонал;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1000209;2НДФЛ;Ремонт;1;0.49;женский;0;0;высшее;менеджер среднего звена;< 50;0;39;53;Торговля;ООО;женат / замужем;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;
9;1000229;2НДФЛ;Другое;1;0.2;мужской;1;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
